# RA/Dec offsets are in arcsec and absolute
# i.e., cos(Dec) projection has been considered.
#   >> dRA  =  RA_daofind -  RA_gaia
#   >> dDEC = DEC_daofind - DEC_gaia
# generated on 2026/04/26
expName N_match dRA dDEC dRA_err dDEC_err theta theta_err
jw01895001005_04101_00003_nrcb 78 -0.0272 -0.0011 0.0019 0.0012 -0.0023 0.0010
jw01895001005_04101_00004_nrca 81 -0.0235 0.0088 0.0014 0.0014 0.0006 0.0010
jw01895001005_04101_00004_nrcb 84 -0.0269 -0.0009 0.0021 0.0019 -0.0034 0.0013
jw01895001006_02101_00001_nrca 74 -0.0299 0.0020 0.0011 0.0014 -0.0041 0.0007
jw01895001006_02101_00001_nrcb 42 -0.0286 -0.0080 0.0022 0.0021 -0.0016 0.0016
jw01895001006_02101_00002_nrca 71 -0.0277 0.0089 0.0013 0.0016 -0.0031 0.0008
jw01895001006_02101_00002_nrcb 41 -0.0286 0.0021 0.0023 0.0020 0.0000 0.0017
jw01895001006_02101_00003_nrca 79 -0.0286 0.0059 0.0012 0.0016 -0.0019 0.0009
jw01895001006_02101_00003_nrcb 47 -0.0268 -0.0034 0.0020 0.0022 -0.0021 0.0016
jw01895001006_02101_00004_nrca 87 -0.0322 0.0024 0.0010 0.0016 -0.0032 0.0008
jw01895001006_02101_00004_nrcb 46 -0.0296 -0.0075 0.0017 0.0018 -0.0019 0.0013
jw01895001006_04101_00001_nrca 72 -0.0289 0.0019 0.0014 0.0010 -0.0019 0.0007
jw01895001006_04101_00001_nrcb 42 -0.0276 -0.0040 0.0021 0.0020 0.0002 0.0016
jw01895001006_04101_00002_nrca 71 -0.0283 0.0095 0.0015 0.0016 -0.0044 0.0010
jw01895001006_04101_00002_nrcb 39 -0.0262 0.0032 0.0019 0.0019 0.0006 0.0018
jw01895001006_04101_00003_nrca 77 -0.0286 0.0052 0.0012 0.0016 -0.0009 0.0008
jw01895001006_04101_00003_nrcb 41 -0.0260 -0.0028 0.0016 0.0018 -0.0004 0.0017
jw01895001006_04101_00004_nrca 97 -0.0329 0.0010 0.0011 0.0013 -0.0024 0.0007
jw01895001006_04101_00004_nrcb 44 -0.0286 -0.0052 0.0019 0.0015 -0.0011 0.0014
jw01895001007_02101_00001_nrca 49 -0.0268 -0.0044 0.0019 0.0020 -0.0010 0.0015
jw01895001007_02101_00001_nrcb 85 -0.0247 -0.0084 0.0011 0.0013 -0.0030 0.0008
jw01895001007_02101_00002_nrca 44 -0.0346 -0.0017 0.0017 0.0022 -0.0010 0.0015
jw01895001007_02101_00002_nrcb 80 -0.0325 -0.0074 0.0012 0.0013 -0.0023 0.0008
jw01895001007_02101_00003_nrca 42 -0.0330 -0.0071 0.0021 0.0031 -0.0002 0.0020
jw01895001007_02101_00003_nrcb 80 -0.0295 -0.0104 0.0012 0.0014 -0.0030 0.0008
jw01895001007_02101_00004_nrca 47 -0.0315 -0.0018 0.0018 0.0021 0.0007 0.0019
jw01895001007_02101_00004_nrcb 82 -0.0303 -0.0079 0.0012 0.0013 -0.0021 0.0007
jw01895001007_04101_00001_nrca 50 -0.0274 -0.0058 0.0020 0.0019 -0.0013 0.0014
jw01895001007_04101_00001_nrcb 91 -0.0250 -0.0101 0.0011 0.0013 -0.0029 0.0006
jw01895001007_04101_00002_nrca 43 -0.0329 -0.0031 0.0021 0.0019 -0.0023 0.0015
jw01895001007_04101_00002_nrcb 85 -0.0318 -0.0073 0.0012 0.0013 -0.0024 0.0007
jw01895001007_04101_00003_nrca 41 -0.0307 -0.0078 0.0022 0.0021 -0.0028 0.0022
jw01895001007_04101_00003_nrcb 83 -0.0306 -0.0109 0.0014 0.0013 -0.0034 0.0008
jw01895001007_04101_00004_nrca 46 -0.0308 -0.0051 0.0020 0.0019 0.0010 0.0021
jw01895001007_04101_00004_nrcb 86 -0.0306 -0.0073 0.0013 0.0013 -0.0029 0.0006
jw01895001008_03101_00001_nrca 118 -0.0309 0.0100 0.0011 0.0012 0.0004 0.0008
jw01895001008_03101_00001_nrcb 91 -0.0265 0.0050 0.0013 0.0012 -0.0010 0.0009
jw01895001008_03101_00002_nrca 123 -0.0380 0.0101 0.0010 0.0014 0.0008 0.0008
jw01895001008_03101_00002_nrcb 80 -0.0329 0.0053 0.0013 0.0011 -0.0021 0.0008
jw01895001008_03101_00003_nrca 120 -0.0659 0.0265 0.0011 0.0013 0.0017 0.0007
jw01895001008_03101_00003_nrcb 92 -0.0610 0.0197 0.0011 0.0011 -0.0013 0.0007
jw01895001008_03101_00004_nrca 119 -0.0320 0.0062 0.0010 0.0011 0.0020 0.0009
jw01895001008_03101_00004_nrcb 91 -0.0277 0.0010 0.0011 0.0011 -0.0002 0.0007
jw01895001008_03103_00001_nrca 118 -0.0306 0.0084 0.0011 0.0010 0.0014 0.0008
jw01895001008_03103_00001_nrcb 90 -0.0250 0.0055 0.0013 0.0013 0.0012 0.0008
jw01895001008_03103_00002_nrca 112 -0.0387 0.0092 0.0010 0.0014 0.0005 0.0008
jw01895001008_03103_00002_nrcb 85 -0.0319 0.0060 0.0013 0.0013 -0.0014 0.0008
jw01895001008_03103_00003_nrca 112 -0.0652 0.0264 0.0010 0.0011 0.0023 0.0008
jw01895001008_03103_00003_nrcb 86 -0.0599 0.0193 0.0010 0.0011 -0.0003 0.0007
jw01895001008_03103_00004_nrca 115 -0.0324 0.0044 0.0011 0.0011 0.0011 0.0008
jw01895001008_03103_00004_nrcb 93 -0.0272 -0.0001 0.0011 0.0012 0.0004 0.0007
