# RA/Dec offsets are in arcsec and absolute
# i.e., cos(Dec) projection has been considered.
#   >> dRA  =  RA_daofind -  RA_gaia
#   >> dDEC = DEC_daofind - DEC_gaia
# generated on 2026/04/08
expName N_match dRA dDEC dRA_err dDEC_err theta theta_err
jw01895002008_02101_00002_nrcb 97 0.0031 0.0052 0.0016 0.0024 -0.0059 0.0012
jw01895002008_02101_00003_nrca 77 0.0057 -0.0126 0.0011 0.0008 0.0002 0.0009
jw01895002008_02101_00003_nrcb 106 0.0023 0.0058 0.0013 0.0021 -0.0032 0.0011
jw01895002008_02101_00004_nrca 77 0.0086 -0.0134 0.0011 0.0011 0.0010 0.0009
jw01895002008_02101_00004_nrcb 99 0.0061 0.0028 0.0016 0.0022 -0.0037 0.0014
jw01895002008_04101_00001_nrca 81 0.0077 -0.0087 0.0011 0.0008 0.0013 0.0008
jw01895002008_04101_00001_nrcb 83 0.0069 0.0060 0.0014 0.0018 -0.0034 0.0011
jw01895002008_04101_00002_nrca 78 0.0079 -0.0110 0.0011 0.0010 0.0017 0.0008
jw01895002008_04101_00002_nrcb 94 0.0058 0.0056 0.0013 0.0016 -0.0030 0.0010
jw01895002008_04101_00003_nrca 78 0.0059 -0.0123 0.0012 0.0010 0.0006 0.0008
jw01895002008_04101_00003_nrcb 102 0.0037 0.0035 0.0013 0.0016 -0.0041 0.0011
jw01895002008_04101_00004_nrca 76 0.0102 -0.0124 0.0011 0.0008 0.0012 0.0008
jw01895002008_04101_00004_nrcb 96 0.0076 0.0023 0.0013 0.0017 -0.0043 0.0011
